path	iobs	iev	intensity	width	length	tgradient
/Volumes/gct-jason/astri_onsky_archive/d2019-05-02_mrk421/Run12917_hillas.h5	12917	9507	5631.3369	0.2427	0.9716	6.7371
/Volumes/gct-jason/astri_onsky_archive/d2019-05-02_mrk421/Run12917_hillas.h5	12917	10902	3002.0148	0.2641	1.1669	9.1942
/Volumes/gct-jason/astri_onsky_archive/d2019-05-02_mrk421/Run12920_hillas.h5	12920	18958	3950.1874	0.1849	1.1159	-10.9665
/Volumes/gct-jason/astri_onsky_archive/d2019-05-02_mrk421/Run12918_hillas.h5	12918	17768	15586.1498	0.3279	0.8160	-1.5667
/Volumes/gct-jason/astri_onsky_archive/d2019-05-02_mrk421/Run12918_hillas.h5	12918	2941	5966.5164	0.2333	1.5470	13.6158
/Volumes/gct-jason/astri_onsky_archive/d2019-05-02_mrk421/Run12918_hillas.h5	12918	9437	7947.8053	0.2767	1.0229	8.4928
/Volumes/gct-jason/astri_onsky_archive/d2019-05-02_mrk421/Run12920_hillas.h5	12920	12913	6829.1761	0.2519	1.2375	13.2701
/Volumes/gct-jason/astri_onsky_archive/d2019-05-02_mrk421/Run12918_hillas.h5	12918	21713	12249.5383	0.2769	1.0115	-7.1132
/Volumes/gct-jason/astri_onsky_archive/d2019-05-02_mrk421/Run12917_hillas.h5	12917	7833	3282.1863	0.1892	1.1275	13.4778
/Volumes/gct-jason/astri_onsky_archive/d2019-05-02_mrk421/Run12918_hillas.h5	12918	19762	24794.7049	0.3571	1.2984	-4.6858
/Volumes/gct-jason/astri_onsky_archive/d2019-05-02_mrk421/Run12917_hillas.h5	12917	13131	44654.2155	0.4450	1.0898	3.6025
/Volumes/gct-jason/astri_onsky_archive/d2019-05-02_mrk421/Run12918_hillas.h5	12918	19542	3112.3447	0.2056	0.8835	8.3042
/Volumes/gct-jason/astri_onsky_archive/d2019-05-02_mrk421/Run12913_hillas.h5	12913	162184	2389.1280	0.1939	0.8989	15.6612
/Volumes/gct-jason/astri_onsky_archive/d2019-05-02_mrk421/Run12918_hillas.h5	12918	22843	3094.5615	0.2583	0.8215	5.8463
/Volumes/gct-jason/astri_onsky_archive/d2019-05-02_mrk421/Run12913_hillas.h5	12913	31827	8706.5930	0.2783	0.8127	-1.3602
/Volumes/gct-jason/astri_onsky_archive/d2019-05-02_mrk421/Run12913_hillas.h5	12913	206751	7206.5921	0.2333	1.2190	-6.2715
/Volumes/gct-jason/astri_onsky_archive/d2019-05-02_mrk421/Run12920_hillas.h5	12920	13479	2072.3109	0.2021	0.8960	-9.1448
/Volumes/gct-jason/astri_onsky_archive/d2019-05-02_mrk421/Run12920_hillas.h5	12920	12274	190084.6801	0.4944	1.5383	-7.3909
/Volumes/gct-jason/astri_onsky_archive/d2019-05-02_mrk421/Run12918_hillas.h5	12918	3563	4618.0844	0.2474	0.8829	-7.8816
/Volumes/gct-jason/astri_onsky_archive/d2019-05-02_mrk421/Run12919_hillas.h5	12919	41286	59934.7862	0.4323	1.0835	5.1366
/Volumes/gct-jason/astri_onsky_archive/d2019-05-02_mrk421/Run12919_hillas.h5	12919	26163	23636.5741	0.4797	0.9326	-0.1277
