superpixel	correction
0	0.83294296
1	0.78488255
2	0.77605104
3	0.6951484
4	0.79435605
5	0.73287654
6	0.9639613
7	0.89431113
8	0.7085627
9	0.6914097
10	0.7059754
11	0.7026737
12	0.6672475
13	0.718521
14	0.88862675
15	0.7190947
16	0.75593215
17	0.71762556
18	0.78938353
19	0.77222604
20	0.801996
21	0.8114068
22	0.8568156
23	0.7574343
24	5.670916
25	1.3906262
26	0.95303327
27	1.0174664
28	0.9439123
29	0.9172129
30	0.79312724
31	0.88779175
32	1.0735798
33	1.2352191
34	1.0586121
35	1.1256369
36	1.048634
37	1.0046568
38	1.0383302
39	0.9175287
40	1.041107
41	1.0368031
42	1.1244073
43	0.9660875
44	0.85473245
45	0.91089463
46	0.80924374
47	0.94491637
48	1.1156623
49	1.1075945
50	1.2072117
51	1.1559764
52	1.4721625
53	1.3910924
54	1.447976
55	1.5007375
56	1.1869452
57	1.121516
58	1.1462487
59	1.2346773
60	1.3725307
61	1.3602992
62	1.4702479
63	1.3265195
64	0.6465189
65	0.6713744
66	0.6669269
67	0.7248861
68	0.67794645
69	0.71589345
70	0.7018674
71	0.67686903
72	0.69829
73	0.70126575
74	0.66516125
75	0.70989
76	0.7096447
77	0.63399225
78	0.7091446
79	0.7153743
80	0.6046032
81	0.62937576
82	0.6535373
83	0.645421
84	0.6695506
85	0.6649667
86	0.66787523
87	0.6858081
88	0.61819285
89	0.5690003
90	0.6211752
91	0.5690429
92	0.60232586
93	0.59527624
94	0.59807646
95	0.64131784
96	0.6603077
97	0.5827149
98	0.7213048
99	0.63396645
100	0.70051396
101	0.7702799
102	0.72602373
103	0.7677673
104	0.62343323
105	0.5987127
106	0.60533786
107	0.6510869
108	0.7206745
109	0.693449
110	0.78570366
111	0.70948565
112	1.6983682
113	1.2958814
114	1.068124
115	0.9952199
116	0.8909952
117	0.91051954
118	0.82377684
119	0.92998534
120	0.9081694
121	0.8637566
122	1.1848246
123	0.8702086
124	0.85964286
125	0.92923164
126	0.8063113
127	0.8732404
128	1.0612835
129	0.9312138
